OIDN,UIDN,CODSEC,NISCODE,SEC,SECNAAM,LENGTE,OPPERVL
1676,21732,13017C042,13017,C042,MOLENBERG,1947.52,218119.97
1679,21735,13019A012,13019,A012,DE BORZE,2467.22,208240.2
1680,21736,13019A02-,13019,A02-,BEEK,3521.47,572106.82
1681,21737,13019A031,13019,A031,MOLENEIND,1922.28,161914.05
1685,21741,13019A112,13019,A112,HEIEIND,3790.6,516204.77
1687,21743,13019A133,13019,A133,GALGENBERG,3224.15,346469.7
1688,21744,13019A21-,13019,A21-,HOUTZIJDE,5488.22,977850.56
1690,21746,13019B010,13019,B010,BOONHOF - MOEREIND,4315.63,755312.75
1691,21747,13019B022,13019,B022,BLASVEN - ZAND,3960.92,626694.02
1694,21750,13019C000,13019,C000,GIERLE-CENTRUM,4394.04,762027.53
1696,21752,13019C02-,13019,C02-,HEMELDONK,4253.3,442097.36
1697,21753,13019C030,13019,C030,GIERLE-CENTRUM-ZUID,3201.27,511986.8
1698,21754,13019C042,13019,C042,ROOIEN,4910.87,846659.85
1702,21758,13019D000,13019,D000,POEDERLEE-CENTRUM,4850.81,728324.85
1705,21761,13019D032,13019,D032,WIJNGAARD,4271.74,500466.93
1708,21764,13021A00-,13021,A00-,MEERHOUT-CENTRUM,5068.85,551177.15
1710,21766,13021A021,13021,A021,ROOIAARDE - HALFWEG,6600.19,913788.7
1711,21767,13021A031,13021,A031,BORGERHOUT,5845.71,745023.7
1713,21769,13021A052,13021,A052,MOLENVELD,3639.68,335810.92
1716,21772,13021A100,13021,A100,GESTEL-KERN,4958.67,853342.62
1719,21775,13021A200,13021,A200,ZITTAART KERN,7277.82,970585.96
1720,21776,13021A21-,13021,A21-,GEBERGTE,4248.89,363120.11
1724,21780,13021A312,13021,A312,GENEBROEK,7046.81,1055629.7
1725,21781,13023A001,13023,A001,MERKSPLAS-DORP,4837.39,715707.21
1728,21784,13023A08-,13023,A08-,KOEKHOVEN,5778.64,931467.39
1737,21793,13023A2MA,13023,A2MA,KOLONIE 1,4778.02,1107207.61
1739,21795,13023A322,13023,A322,HEIDESTRAAT,3400.58,415446.43
1740,21796,13023A333,13023,A333,VELDENBERGSTR.-STW.HOOGSTRATEN,4371.26,1034268.33
1741,21797,13023A344,13023,A344,MERKSPLAS-DORP NOORD,3608.45,339892.64
1742,21798,13023A355,13023,A355,MERKSPLAS-DORP OOST,3408.5,316739.96
1743,21799,13025A00-,13025,A00-,MOL-CENTRUM,3784.33,611205.3
1744,21800,13025A01-,13025,A01-,TURNHOUTSEBAAN,7483.81,1602846
1750,21806,13025A0MB,13025,A0MB,MOL,3035.83,425152.79
1751,21807,13025A0PB,13025,A0PB,MOLSVELD,5637.72,1223050.85
1757,21813,13025A30-,13025,A30-,GINDERBUITEN,7239.89,2561914.72
1771,21827,13025A622,13025,A622,EZAARTVELD,3009.86,457627.45
1774,21830,13025A71-,13025,A71-,STOKT,7490.74,1066435.01
1779,21835,13025A80-,13025,A80-,ACHTERBOS,7673.76,1398453.11
1780,21836,13025A812,13025,A812,VIJFTIEN KAPELLEKENS,5938.92,828489.65
1791,21847,13029A12-,13029,A12-,BUUL,4721.94,858108.63
1793,21849,13029A142,13029,A142,KRENTZEN,5164.48,609120.65
1794,21850,13029A152,13029,A152,DOFFEN,7480.46,1259007.65
1803,21859,13031A000,13031,A000,OUD-TURNHOUT-CENTRUM,5969.36,768617.83
1806,21861,13031A033,13031,A033,BROOSEINDE,4469.98,750566.63
1807,21862,13031A044,13031,A044,BEGIJNENHOEF,3200.67,526862.18
1811,21866,13031A11-,13031,A11-,HOGE DARISDONK,3317.73,342070.07
1818,21873,13031A242,13031,A242,RABAUWAKKERS,2365.36,286562.49
1823,21878,13035A01-,13035,A01-,GILSEINDE,3594.96,371246.04
1825,21880,13035A03-,13035,A03-,KLEIN RAVELS,4779.29,347219.35
1826,21881,13035A042,13035,A042,OUDE MOLEN,1843.44,116670.99
1827,21882,13035A0MA,13035,A0MA,KANAALDIJK-INDUSTRIE,3042.4,377022.9
1829,21884,13035A10-,13035,A10-,EEL-KERN,7225.39,880091.78
1834,21889,13035B031,13035,B031,STRAATAKKERS,5524.27,626647.52
1835,21890,13035B08-,13035,B08-,MEER,10455.23,2688744.63
1838,21893,13035B10-,13035,B10-,SINT-JAN,4967.9,573641.06
1843,21898,13035B382,13035,B382,SINT-ISIDOOR,10651.34,2260544.99
1844,21899,13035B39-,13035,B39-,MOLENEINDE,7130.6,1686806.07
1845,21900,13035C00-,13035,C00-,POPPEL-DORP,3418.94,440396.9
1846,21901,13035C01-,13035,C01-,TILBURGSEWEG,3073.43,227125.81
1849,21904,13035C042,13035,C042,DE WILDERS,2916.25,320877.18
1851,21906,13035C0AB,13035,C0AB,LEIHEIDE,2844.77,276265.6
1855,21910,13035C113,13035,C113,AARLEHEIDE,2648.7,395179.34
1860,21915,13036A030,13036,A030,HODONK - BRAND,6468.43,1124193.76
1861,21916,13036A04-,13036,A04-,WERBEEK,4122.13,460389.31
1864,21919,13036A213,13036,A213,BOSEND - MEIEREND,5018.14,1073017.77
1865,21920,13036A22-,13036,A22-,PONTFORT,3012.14,255298.36
1866,21921,13036A230,13036,A230,LOOIEND - BERG - HORZELEND,6830.09,1439747.86
1869,21924,13036A300,13036,A300,SCHOONBROEK,4183.44,692322.5
1872,21927,13037A001,13037,A001,RIJKEVORSEL-DORP,1542.9,104772.34
1874,21929,13037A021,13037,A021,DRIEHOEK,4724.5,860586.82
1875,21930,13037A031,13037,A031,SMEEL,3148.14,287561.4
1886,21941,13037A282,13037,A282,ACHTEL-VERSPR.BEW.,9825.02,2491221.92
1887,21942,13037A293,13037,A293,GAMMEL,6894.4,2110479.26
1888,21943,13037A382,13037,A382,MERKSPLASSESTEENWEG,6069.29,642200.99
1889,21944,13037A3MA,13037,A3MA,HELHOEKHEIDE,3010.36,298105.08
1891,21946,13040A000,13040,A000,TURNHOUT-CENTRUM,3808.37,621673.11
1892,21947,13040A012,13040,A012,LILLOKENS,2578.34,340431.98
1894,21949,13040A031,13040,A031,KLEIN BEEK,3170.45,357809.77
1895,21950,13040A042,13040,A042,DE SMISKENS,3567.94,506834.56
1901,21956,13040A173,13040,A173,VEEDIJK,5117.79,985067.14
1903,21958,13040A2MA,13040,A2MA,SCHIETSTAND,2945.98,498437.59
1906,21961,13040A322,13040,A322,EYSSELS,3690.15,436162.12
1912,21967,13040A601,13040,A601,LUCHTENBERG,1687.24,156407.55
1915,21970,13040A700,13040,A700,TUINWIJK,3393.27,622908.55
1917,21972,13040A721,13040,A721,STOKT,3779.99,859229.52
1918,21973,13040A732,13040,A732,GILDENSTRAAT,1253.77,96338.17
1923,21978,13040A824,13040,A824,WIELTJES,3322.05,578121.95
1926,21981,13044A020,13044,A020,NIEUWSTRAAT,3384.04,380602.85
1928,21983,13044A04-,13044,A04-,ZEGBROEK,7352.48,849457.02
1929,21984,13044A052,13044,A052,NIEUWSTRAATVELD,2499.29,163350.98
1937,21992,13046A042,13046,A042,BOLK,2862.55,376613.51
1947,22002,13049A00-,13049,A00-,WESTERLO-CENTRUM,4124.98,493454.43
1948,22003,13049A011,13049,A011,BOERENKRIJGLAAN,4461.49,839558.52
1949,22004,13049A022,13049,A022,MAST,4195,630978.97
1950,22005,13049A032,13049,A032,WESTERLO-CENTRUM WEST,3653.69,443049.42
1957,22012,13049A210,13049,A210,GELENDEL-MEYERIJ,9737.32,2256277.76
1961,22016,13049B022,13049,B022,LEYSEHOEVE,3279.55,272132.82
1963,22018,13049B042,13049,B042,STENENHOEVE,3558.62,618326.41
1966,22021,13049B110,13049,B110,OOSTERWIJK-WEST,4776.96,740215.56
1967,22022,13049B124,13049,B124,TRIENENKANT,2540.21,314041.67
1970,22025,13049C00-,13049,C00-,ZOERLE-PARWIJS,8019.93,1542178.57
1972,22027,13049D010,13049,D010,HEIEINDE,4499.47,468635.55
1973,22028,13049D022,13049,D022,BLOEMENWIJK,2543.35,332702.2
1975,22030,13049D0AA,13049,D0AA,DUITSCHOOL,2649.52,221083.16
1978,22033,13053A010,13053,A010,KASTEEL-VOSSENBERG,4881.22,639097.22
1980,22035,13053A03-,13053,A03-,HULSTSTRAAT,2855.51,274914.56
1989,22044,13053D000,13053,D000,VORST-CENTRUM,6542.77,1361833.73
1990,22045,13053D01-,13053,D01-,BEUSTEREINDE,5075.68,1125466.87
1992,22047,13053D10-,13053,D10-,MEERLAAR,6291.5,1734566.96
19787,39564,11002J8AN,11002,J8AN,AN-LUCHTBAL-NOORD,3272.88,557366.19
19788,39565,11002K1NP,11002,K1NP,AN-LUITHAGEN-TRANSCONTINENTAALWEG,7663.94,2446237.45
19796,39573,11002P6EK,11002,P6EK,EK-DONKSE BEEK,2938.24,523763.18
19797,39574,11002P6FK,11002,P6FK,EK-EKERSE POLDER,4252.91,1073643.7
19789,39566,11002K1WN,11002,K1WN,AN-HAVEN/VORMINGSSTATION,15140.46,7874351.59
19790,39567,11002P2AN,11002,P2AN,EK-LAAR,5094.08,898997.07
19792,39569,11002P6AK,11002,P6AK,EK-LEUGENBERG-ZUID,1257.43,80481.97
19793,39570,11002P6BK,11002,P6BK,EK-SCHOONBROEK - TWEEKRONEN,2473.4,200294.84
19798,39575,11002P6PK,11002,P6PK,EK-EKERSE PUTTEN,9088.06,2196630.44
1145,39652,11002P23-,11002,P23-,LAGE BIST,2763.19,337980.05
1116,39640,11002K271,11002,K271,DISTRICT LILLO TUNNEL-NOORD,15828.31,12257980.1
1118,39641,11002K2MN,11002,K2MN,DISTRICT LILLO TUNNEL-ZUID,4282.9,730147.51
1123,39644,11002L090,11002,L090,NOORDLAANPOLDER-VERSPR. BEW. (ZANDVLIET - 5 DISTRICT),13469.95,5100291.7
1126,39646,11002L122,11002,L122,VISWATER(BERENDRECHT - 4 DIST),5180.31,1470793.52
1130,39648,11002M0PA,11002,M0PA,SCHELDE,66975.75,16180607.9
1138,39649,11002P100,11002,P100,MARIABURG,3033.46,489163.65
1142,39651,11002P20-,11002,P20-,HOEKAKKER,2619.77,284325.2
1148,39653,11002P392,11002,P392,VLOEIENDE,2688.03,412726.89
1150,39655,11002P589,11002,P589,DE HOEKX,4423.45,922119.22
1151,39656,11002P590,11002,P590,KROMMESTR.- AKKER - BREDESTR.- VELDEN,6051.08,681776.73
1161,39658,11002Q11-,11002,Q11-,MERKSEMHEIDE,2349.54,319763.32
1248,39683,11002T23-,11002,T23-,BERCHEMBOS,1759.79,144249.88
1174,39660,11002Q30-,11002,Q30-,KLEINE BAREEL,4885.2,282286.14
1470,39793,11018A122,11018,A122,SINT-BERNARD,1845.1,175410.6
1473,39794,11018A170,11018,A170,NIJVERHEIDSZONE-OOST,7661.85,580870.47
1175,39661,11002Q39-,11002,Q39-,'T FORT,5365.04,894088.49
1177,39662,11002R00-,11002,R00-,DEURNE - GEMEENTEHUIS,1742.75,116668.07
1189,39664,11002R180,11002,R180,BREM,3917.81,641701.41
1192,39666,11002R21-,11002,R21-,MORTELHOEK,2512.79,303811.15
1196,39668,11002R28-,11002,R28-,RUGGEVELD,3613.1,614933.05
1270,39693,11002U41-,11002,U41-,U.I.A. VOORJAARSSTRAAT,3981.68,588308.42
1274,39695,11002U5MA,11002,U5MA,GROENE HOEK - TER BEKE,5987.53,821122.14
1275,39696,11002U5PA,11002,U5PA,GROENE HOEK - TER BEKE,4733.62,674350.63
504,40157,12025A521,12025,A521,ESDOORN,2597.68,257568.05
1296,39699,11002V23-,11002,V23-,NACHTEGALENHOF-ZUID,2823.45,416350.61
1301,39700,11002V373,11002,V373,INDUSTRIEPARK,3934.03,632160.6
1304,39702,11004A01-,11004,A01-,HOVEREVELD,2466.98,309333.85
1305,39703,11004A02-,11004,A02-,FRUITHOF,3204.57,366663.3
1306,39704,11004A03-,11004,A03-,LANGE KROON,2972.93,312896.16
1308,39706,11004A09-,11004,A09-,HOF VAN BOECHOUT,7514.54,2105337.82
1311,39707,11004A19-,11004,A19-,SMIDJE-VERSPREIDE BEWONING,8107.31,1528886.53
1316,39708,11004A29-,11004,A29-,BOSHOEK,8145.51,2242747.61
1496,39806,11022A19-,11022,A19-,DE GREEF,7624.26,2761978.6
1498,39808,11022A21-,11022,A21-,DENNENDAAL,7111.54,2380966.35
1499,39809,11022A22-,11022,A22-,GEUZENBAK,5577.66,993446.37
1503,39811,11022A2MA,11022,A2MA,INDUSTRIE,4738,842888.92
1504,39812,11022A2PA,11022,A2PA,SCHIETVELD,5480.12,1739447.27
1507,39813,11022A322,11022,A322,HEIKEN-NOORD,4244.58,816197.57
1508,39814,11022A382,11022,A382,DUFFELAAR,2743.42,323363.52
1509,39815,11022A39-,11022,A39-,HANDELAAR,19891.39,6047619.65
1511,39816,11022A412,11022,A412,HEIKANT - MAATJES,6987.59,1015814.59
1512,39817,11022A423,11022,A423,ZILVERENHOEK,5490.98,767507.68
1513,39818,11022A48-,11022,A48-,MARIJNEVENNEN - MAATJES,8735.88,2936198.13
1514,39819,11022A49-,11022,A49-,VENETIE,10682.62,3828807.74
1515,39820,11022A50-,11022,A50-,KRUISSTRAAT,4477.45,312730.46
1519,39823,11022A692,11022,A692,GROENENDRIES,7785.98,1724568.23
1522,39824,11023A02-,11023,A02-,ESSENHOUT - ZILVEREN HOEK,4648.87,641784.6
1589,39865,11029A11-,11029,A11-,SINT-JOZEF,3353.02,659799.02
1597,39869,11029A211,11029,A211,DIESEGHEM,3480.16,383768.83
1595,39867,11029A191,11029,A191,GASTHUISHOEVEN,5135.07,1289098.53
1599,39871,11029A232,11029,A232,AGFA-GEVAERT,1516.63,136865.99
1601,39872,11029A27-,11029,A27-,VARENTHOF,2244.86,188525.85
1603,39874,11029A301,11029,A301,ZILVERBEEK,1847.98,192592.09
1604,39875,11029A372,11029,A372,SINT-AMEDEUS,1541.11,136267.08
1606,39876,11030A01-,11030,A01-,NIEL - DORP-OOST,2890.94,321937.2
1608,39878,11030A03-,11030,A03-,NIELSE MATEN,3863.78,499785.23
1611,39881,11030A10-,11030,A10-,HELLEGAT - STEENBAKKERIJEN,5571.58,814687.46
33,39912,11037C19-,11037,C19-,GROTE PAEPENDAELEN,4255.7,686111.59
34,39913,11037C20-,11037,C20-,STATIE,3526.06,251967.34
35,39914,11038A000,11038,A000,SCHELLE-DORP,4220.24,744717.39
36,39915,11038A010,11038,A010,MIKMAN,3756.75,597397.19
37,39916,11038A020,11038,A020,MAAIENHOEK,2399.19,297527.69
38,39917,11038A030,11038,A030,LAARHOEK,3538.05,418737.77
41,39919,11038A090,11038,A090,ZINKVAL - SPELTEN,13403.42,3079190.18
42,39920,11038A1AR,11038,A1AR,KOEKOEK,3452.06,564883.49
86,39939,11040A201,11040,A201,DEUZELD,2011.1,250695.7
88,39940,11040A222,11040,A222,WINKELSTAP,1814.15,172383.72
51,39923,11039A10-,11039,A10-,BERGEN-ZUID,8480.24,1906053.68
54,39924,11039A20-,11039,A20-,DEN DRIJHOEK-NOORD,3874.3,695377.54
56,39926,11039A22-,11039,A22-,STEIJNHOEVEN,6959.42,2269618.08
101,39949,11040A480,11040,A480,ELSHOUTHEIDE,7439.7,2282953.86
112,39956,11044A10-,11044,A10-,PUTTE - DRIEHOEK,4110.46,482798.84
114,39957,11044A191,11044,A191,RAVENHOF,6880.6,1493538.85
115,39958,11044A21-,11044,A21-,GALGEVELD - WATERSTRAAT,3721.03,610635.75
116,39959,11044B001,11044,B001,HOEVENEN-CENTRUM,4546.21,603757.13
120,39962,11044B100,11044,B100,KREKELBERGSTRAAT - HOGE WEG,4639.94,355449.34
124,39964,11050A01-,11050,A01-,WIJNEGEM-CENTRUM-ZUID,3522.35,397015.08
125,39965,11050A02-,11050,A02-,KOOLSVELD,2979.72,404370.55
130,39969,11050A08-,11050,A08-,WIJNEGEM HOF,2992.73,381130.95
131,39970,11050A091,11050,A091,ERTBRUGGE,4921.51,668958.54
132,39971,11050A100,11050,A100,STOKERIJ,3495.42,281894.51
133,39972,11050A110,11050,A110,MOLENHEIDE,2537.89,312649.94
151,39984,11052A212,11052,A212,TIP,1965.53,122168.6
134,39973,11050A19-,11050,A19-,VERBRANDE HOF,7264.95,1869204.98
172,39995,11053A381,11053,A381,WITGOOR,6960.1,2206890.56
195,40008,11054A0AA,11054,A0AA,BOGAEREVELDEN,2726.72,325684.71
173,39996,11053A391,11053,A391,WOLFSHEUVEL,10300.54,4926173.34
175,39997,11053A480,11053,A480,TEREIK,6250.69,2000634.84
176,39998,11053A49-,11053,A49-,HUISHEUVEL - STEERTHEUVEL,12674.2,6967308.7
196,40009,11054A0BA,11054,A0BA,DE STEVENS,4974.5,453775.37
198,40010,11054A0PA,11054,A0PA,HOFEINDE,14091.68,3933225.2
186,40002,11053B081,11053,B081,DE DONK - SPAPELHEIDE,24709.59,8183147.95
187,40003,11053B09-,11053,B09-,SNEPPEL,13498.58,6907493.48
189,40004,11053B18-,11053,B18-,POPENDONK,13524.6,6554209.18
505,40158,12025A532,12025,A532,GEERDEGEMVELD,3155.7,598664.19
622,40213,12030A310,12030,A310,EIKSE AMER,1626.17,103214.07
190,40005,11053B19-,11053,B19-,HERSELING - VORSSINGERS,12555.22,7007548.75
191,40006,1105410PQ,11054,10PQ,KLEINE BEEK,2270.3,108206.6
192,40007,11054A00-,11054,A00-,ZANDHOVEN-CENTRUM,4257.57,592987.68
206,40013,11054C00-,11054,C00-,PULLE-CENTRUM,4305.12,670350.06
996,39625,11001A074,11001,A074,BRUINEN BAARD,4201.28,458362.82
1000,39627,11001A10-,11001,A10-,'T HEIKEN,5274.34,364873.2
1121,39642,11002L022,11002,L022,GROTE RUIGEHEIDE(ZANDVL.-5DIS),3024.56,548839.19
1002,39629,11001A190,11001,A190,DE REUKENS,6792.41,1321824.83
1568,39846,11024A434,11024,A434,TANGHOF,2120.19,279414.03
1004,39631,11001A21-,11001,A21-,VIERPALEN,3733,510213.16
1005,39632,1100212MQ,11002,12MQ,STABROEK,5224.84,807251.99
1010,39633,11002A04-,11002,A04-,OUDAAN (SPAANSE WALLEN),1935.21,148826.56
1598,39870,11029A22-,11029,A22-,OOSTERVELD,1069.52,52837.13
1028,39635,11002B791,11002,B791,ST.-ANNABOS (LINKEROEVER ),7392.03,2441337.81
1082,39638,11002G72-,11002,G72-,WILRIJKSPL.-W. (WILRIJKSPLEIN),1342.98,74159.77
1086,39639,11002G780,11002,G780,NACHTEGALENPARK(WILRIJKSPLEIN),7931.15,2330902.25
1122,39643,11002L070,11002,L070,HAVENGEBIED (ZANDVLIET-5 DIS),13871,9602837.23
1390,39745,11009A222,11009,A222,HOGE HEIDE,11271.62,2311382.1
1392,39746,11009A29-,11009,A29-,VRAAGHEIDE,11944.33,5017762.95
1397,39747,11009A49-,11009,A49-,BRECHTSE HEIDE,13885.61,8254117.3
1398,39748,11009A59-,11009,A59-,GROOT SCHIETVELD,18033.66,10976654.59
1399,39749,11009A5AA,11009,A5AA,ROMMERSHEIDE - LAKVEN,9281.7,2041221.61
1400,39750,11009A5PA,11009,A5PA,NOTTEBOHM,6969.31,2048018.49
1405,39751,11009B08-,11009,B08-,MOLENHEIKEN,5667.19,1348570.94
1461,39788,11018A010,11018,A010,HOOFDBOS,2532.31,368897.81
1406,39752,11009B091,11009,B091,HENXBROEK-KLOOSTERAKKER-VONDEL,11728.04,4711628.62
1407,39753,11009B18-,11009,B18-,EESTER - LABOUREUR - VOGELZANG,10748.18,6163967.89
1410,39755,11009B29-,11009,B29-,DE HOUW - GALGEVOORT,8657.04,3738747.59
1413,39757,11009C00-,11009,C00-,SINT-JOB-IN-'T GOOR - CENTRUM,3682.39,659771.27
1415,39758,11009C020,11009,C020,ZAND,5982.04,1289334.87
1418,39761,11009C090,11009,C090,KLOOSTERVELD-VERSPR. BEW.,10096.98,2152220.07
1564,39844,11024A291,11024,A291,BABBELKROON - DUFFELSE HOEK,5712.52,1234699.7
1565,39845,11024A30-,11024,A30-,VERBRANDE HOEVE,2375.97,150885.34
1570,39848,11024B012,11024,B012,KERKEVELDEN,4183.32,543812.36
1571,39849,11024B08-,11024,B08-,TERBEECK,6689.62,1116792.9
1572,39850,11024B091,11024,B091,BEEKBOSHOEK,6198.13,1654559.95
1573,39851,11024B190,11024,B190,DE KEIZERENBERG,4503.35,974842.73
1576,39853,11025A02-,11025,A02-,LINTZ-VELD,4793.59,939060.46
1578,39855,11025A053,11025,A053,SCHUURVELD,2890.75,357725.5
1579,39856,11025A08-,11025,A08-,BEEKHOEK,4067.23,605274.58
1581,39858,11025A184,11025,A184,LOUWERIJK,5585.18,853542.74
1583,39860,11029A00-,11029,A00-,OUDE-GOD,3641.11,699328.14
239,40034,11055A293,11055,A293,ZOERSELBOS,9623.12,4606030.37
240,40035,11055A313,11055,A313,KAPELLENHOF,3157.5,321043.6
245,40036,11055B080,11055,B080,MOLENEINDE,12823.66,3226782.16
246,40037,11055B090,11055,B090,HOOIDONKEINDE,10358.62,3336310.46
247,40038,11055B110,11055,B110,DE PLOEG,6161.14,1842503.51
248,40039,11055B120,11055,B120,HEIDEHOEVEN,5671.58,1801527.36
251,40042,11056A02-,11056,A02-,OUDE MOLENKOUTER,2144.47,160951.49
255,40045,11056A081,11056,A081,VLIET,9119.17,1245342.09
256,40046,11056A091,11056,A091,ZWIJNDRECHT - VERSPR. BEW. - WEST EN ZUIDWEST,14256.44,3267321.64
348,40091,12007B20-,12007,B20-,EIKEVLIET-KERN,2556.77,231007.2
258,40048,11056A210,11056,A210,LAARKOUTER,2502.77,280388.84
265,40050,11056B032,11056,B032,'T HOEKSEN,3016.11,352307.52
267,40051,11056B072,11056,B072,NEUZENBERG,2892.98,223533.61
268,40052,11056B081,11056,B081,SCHELDE,6304.52,553913.14
269,40053,11056B091,11056,B091,FORT VAN KRUIBEKE - SLIJKHOEK,6647.75,765907.11
270,40054,11056B17-,11056,B17-,HEIDAM,4130.38,488890.96
272,40056,1105711PQ,11057,11PQ,ZALFENSE HEIDE,7586.35,509910.21
351,40094,12007B3PA,12007,B3PA,BRANDERVELD EN SCHOONAERDEN,5727.94,591989.64
352,40095,12007C00-,12007,C00-,MARIEKERKE-CENTRUM,4337.74,689779.57
353,40096,12007C01-,12007,C01-,HEIKANT,4115.08,517572.11
357,40098,12007D09-,12007,D09-,SCHELDEPOLDERS,14764.77,4711480.55
358,40099,12009A000,12009,A000,DUFFEL-CENTRUM-WEST,4456.9,790174.01
364,40101,12009A072,12009,A072,INDUSTRIE,6436.14,1783064.53
365,40102,12009A084,12009,A084,ANTWERPSE WATERWERKEN,6194.01,756392.94
367,40104,12009A0PA,12009,A0PA,DUFFELSE BOSSEN,16648.11,3493467.78
368,40105,12009A10-,12009,A10-,MIJLSTRAAT - KERN,5866.06,825242.55
371,40107,12009A211,12009,A211,PERWIJS,4584.21,824642.74
372,40108,12009A221,12009,A221,MECHELSE BAAN,6022.21,692725.95
373,40109,12009A232,12009,A232,ZANDSTRAAT,3539.63,455243.24
489,40150,12025A332,12025,A332,NEKKERSPOEL -LAKENMAKERSSTRAAT,3895.11,323361.75
490,40151,12025A342,12025,A342,PASBURG,2710.31,200642.32
503,40156,12025A51-,12025,A51-,VOETBALSTADION,1830.13,138510.33
495,40153,12025A430,12025,A430,NIEUWE WATERTOREN,5017.13,611661.99
507,40159,12025A580,12025,A580,BAREBEEK,3159.74,304502.52
1939,40517,13046A081,13046,A081,HET LOOY,2947.42,480239.36
516,40162,12025A6MJ,12025,A6MJ,VROUWVLIET,9257.83,2431153.56
523,40163,12025A830,12025,A830,BARON EMPAINLAAN,3807.75,398915.25
533,40165,12025B01-,12025,B01-,DRIES,2684.34,173873.95
536,40166,12025B042,12025,B042,PIKKERIE,1276.58,54298.43
537,40167,12025B081,12025,B081,BOSKANT,14968.14,4068775.15
538,40168,12025B091,12025,B091,KLEIN-GENT - TOREKENS,17886.1,4143343.7
542,40169,12025C091,12025,C091,LEEST-VERSPREIDE BEWONING,23793.3,8427341.19
546,40171,12025E001,12025,E001,WALEM-CENTRUM,3468.94,381780.8
548,40173,12025E080,12025,E080,FORT,5176.26,490993.05
549,40174,12025E0PN,12025,E0PN,BATTENBROEK,7722.88,3142726.83
556,40176,12025F091,12025,F091,PLANKENDAEL,3212.31,486365.27
1941,40519,13046A10-,13046,A10-,HEIEINDE,3140.07,350824.19
789,40298,13004A212,13004,A212,HOGE BERGEN,4521.61,925946.33
794,40300,13004B091,13004,B091,VLIMMEREN-VERSPREIDE BEWONING,23533.42,7918359.32
795,40301,13004B212,13004,B212,DEN ABT,3693.25,466664.48
801,40303,13006A064,13006,A064,WARANDE (W.E.VERBLIJVEN),5007.38,961538.92
802,40304,13006A0MA,13006,A0MA,SCHANS,3595.98,413431.63
804,40306,13006A0PA,13006,A0PA,MOLENHEI-BOSHOEK-BOERETANG-TURKEI-HOOGVELDEN-PINKEN,51625.52,16833797.86
808,40307,13006A266,13006,A266,CAMPINASTRAND(W.E.VERBLIJVEN),2460.23,318260.71
818,40310,13008A19-,13008,A19-,BEL-VERSPREIDE BEWONING,16574.3,5514802.34
822,40312,13008A2MA,13008,A2MA,HEZEMEER,3275.3,535105.7
823,40313,13008A2NJ,13008,A2NJ,AMOCO,6839.21,1571301.87
827,40315,13008A372,13008,A372,STELEN-MOLENBERG INDUSTRIEZONE,9219.31,2394805.12
1738,40425,13023A2PA,13023,A2PA,KOLONIE 2,10307.67,2251161.73
1745,40426,13025A021,13025,A021,HUTTEN,4740.91,764087.43
1748,40427,13025A052,13025,A052,WATERMOLEN,2690.53,319893.99
1749,40428,13025A081,13025,A081,OUDE NETE-ZUID,25087.76,5460006.13
1768,40441,13025A591,13025,A591,WEZELHEIDE,4790.04,899090.12
1770,40442,13025A61-,13025,A61-,HESSIE-HOOGEIND,8241.38,1370236.3
1756,40431,13025A29-,13025,A29-,POSTELSBOS,35412.1,44816373.44
1759,40432,13025A321,13025,A321,GOMPEL HOEVE,5669.93,1232664.36
1762,40435,13025A40-,13025,A40-,RAUW,5648.41,1036731.1
1764,40437,13025A4PA,13025,A4PA,ZILVERSTRAND-VERKALLENBOS,20591.7,13966441.3
1765,40438,13025A50-,13025,A50-,WEZEL,7510.37,1602539.73
1767,40440,13025A523,13025,A523,WEZELSTATIE,9156.28,1824066.48
1776,40444,13025A783,13025,A783,KIEVITWIJK,11628.52,2582980.24
1778,40446,13025A7PC,13025,A7PC,STOKT-EUROPAWIJK,5166.98,1077166.82
1781,40447,13025A89-,13025,A89-,OUDE BLEKEN - DONKSBROEK,15273.76,7909625.88
1782,40448,13025A913,13025,A913,VOLMOLEN,4821.82,543832.21
1783,40449,13029A000,13029,A000,OLEN-CENTRUM,8537.17,1602466.91
1204,39671,11002R39-,11002,R39-,BOTERLAARHOF,2454.63,230159.62
1207,39673,11002R42-,11002,R42-,BOEKENBERGLEI,2042.06,154709.89
1239,39682,11002T111,11002,T111,FRUITHOF,2829.86,300854.17
1210,39676,11002R47-,11002,R47-,VLIEGVELD,5758.53,1203258.11
1224,39678,11002S28-,11002,S28-,DEURNE - HUISKENS,1178.85,79361.98
1575,39852,11025A01-,11025,A01-,NIEUW KWARTIER,3232.6,478761.69
1237,39681,11002T09-,11002,T09-,VESTINGEN,8093.45,1131973.71
1253,39685,11002T412,11002,T412,ZILVERBEEK,2559.78,141503.99
1254,39686,11002T42-,11002,T42-,DE ZEPTEN,2999.68,269327.62
1263,39688,11002U21-,11002,U21-,DE BRUYNLAAN-ZUID,2458.55,282817.47
1265,39689,11002U30-,11002,U30-,OOSTERVELD,2590.68,352342.52
1266,39690,11002U31-,11002,U31-,ELSDONK-OOST,1840.67,146965.49
1267,39691,11002U32-,11002,U32-,ELSDONK-WEST,3434.96,481241.94
1269,39692,11002U40-,11002,U40-,EDEN,4192.53,525539.59
